dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,336,PatchTST-M_s2026,gaussian_0.10,37,0.08956028521060944,0.2335408478975296,0.2992662489414215,0.08508244901895523,5.262937589697958
ETTh1,336,PatchTST-M_s2027,gaussian_0.10,37,0.08880945295095444,0.2331290990114212,0.29800915718078613,0.08603134006261826,3.229187045458226
ETTh1,336,PatchTST-M_s2028,gaussian_0.10,37,0.08713209629058838,0.2309877574443817,0.2951814532279968,0.08415810763835907,3.533811222335248
ETTh1,336,Last,gaussian_0.10,43,0.12203085422515869,0.27588191628456116,0.3493291437625885,0.11327401548624039,7.730668592729462
ETTh1,336,ARRidge,gaussian_0.10,43,0.09772705235950832,0.24216952846195047,0.3126132632495114,0.09709288688026804,0.6531533870471007
ETTh1,336,PatchTST-M_s2026,gaussian_0.10,43,0.08975249528884888,0.23381611704826355,0.299587219953537,0.08508244901895523,5.488847963054311
ETTh1,336,PatchTST-M_s2027,gaussian_0.10,43,0.08934617787599564,0.2339288592338562,0.2989083230495453,0.08603134006261826,3.8530584447070915
ETTh1,336,PatchTST-M_s2028,gaussian_0.10,43,0.08747031539678574,0.23146820068359375,0.2957538068294525,0.08415810763835907,3.935696573240155
ETTh1,336,Last,random_missing_0.10,31,0.11300089210271835,0.26494258642196655,0.33615604043006897,0.11327401548624039,-0.24111741986864166
ETTh1,336,ARRidge,random_missing_0.10,31,0.10094426451969496,0.24564323892886894,0.3177172713588214,0.09709288688026804,3.966693918758768
ETTh1,336,PatchTST-M_s2026,random_missing_0.10,31,0.08742315322160721,0.23013100028038025,0.29567405581474304,0.08508244901895523,2.7511011138507513
ETTh1,336,PatchTST-M_s2027,random_missing_0.10,31,0.08877082914113998,0.23225240409374237,0.2979443371295929,0.08603134006261826,3.184291999319999
ETTh1,336,PatchTST-M_s2028,random_missing_0.10,31,0.08661218732595444,0.22927246987819672,0.29429948329925537,0.08415810763835907,2.916034778420795
ETTh1,336,Last,random_missing_0.10,37,0.11333076655864716,0.26532992720603943,0.33664634823799133,0.11327401548624039,0.050100697996047217
ETTh1,336,ARRidge,random_missing_0.10,37,0.10080120476918156,0.24529996720905398,0.31749205465520164,0.09709288688026804,3.819350735225835
ETTh1,336,PatchTST-M_s2026,random_missing_0.10,37,0.0871434137225151,0.22953453660011292,0.2952006459236145,0.08508244901895523,2.4223147397893108
ETTh1,336,PatchTST-M_s2027,random_missing_0.10,37,0.08811895549297333,0.23122934997081757,0.2968483567237854,0.08603134006261826,2.426575511709572
ETTh1,336,PatchTST-M_s2028,random_missing_0.10,37,0.08663344383239746,0.22896571457386017,0.29433560371398926,0.08415810763835907,2.941292602104739
ETTh1,336,Last,random_missing_0.10,43,0.11325258016586304,0.2652498781681061,0.3365302085876465,0.11327401548624039,-0.018923422362437936
ETTh1,336,ARRidge,random_missing_0.10,43,0.10097171289588897,0.24563455683505112,0.31776046465205354,0.09709288688026804,3.9949641423312254
ETTh1,336,PatchTST-M_s2026,random_missing_0.10,43,0.08760924637317657,0.2302706092596054,0.2959885895252228,0.08508244901895523,2.969822076534734
ETTh1,336,PatchTST-M_s2027,random_missing_0.10,43,0.08827194571495056,0.23149798810482025,0.29710593819618225,0.08603134006261826,2.604406313677643
ETTh1,336,PatchTST-M_s2028,random_missing_0.10,43,0.08650524914264679,0.22894351184368134,0.2941177487373352,0.08415810763835907,2.788966589379327
ETTh1,336,Last,tail_missing_12,31,0.11761713027954102,0.2724674642086029,0.34295353293418884,0.11327401548624039,3.8341668869575685
ETTh1,336,ARRidge,tail_missing_12,31,0.10225236107194811,0.25000080181772466,0.31976923096500093,0.09709288688026804,5.313956930792041
ETTh1,336,PatchTST-M_s2026,tail_missing_12,31,0.09217889606952667,0.23918329179286957,0.30360978841781616,0.08508244901895523,8.34067088147692
ETTh1,336,PatchTST-M_s2027,tail_missing_12,31,0.09244751185178757,0.23977768421173096,0.30405181646347046,0.08603134006261826,7.457947051038927
ETTh1,336,PatchTST-M_s2028,tail_missing_12,31,0.0906371995806694,0.23717443645000458,0.30106014013290405,0.08415810763835907,7.698713913758648
ETTh1,336,Last,tail_missing_12,37,0.11761713027954102,0.2724674642086029,0.34295353293418884,0.11327401548624039,3.8341668869575685
ETTh1,336,ARRidge,tail_missing_12,37,0.10225236107194811,0.25000080181772466,0.31976923096500093,0.09709288688026804,5.313956930792041
ETTh1,336,PatchTST-M_s2026,tail_missing_12,37,0.09217889606952667,0.23918329179286957,0.30360978841781616,0.08508244901895523,8.34067088147692
ETTh1,336,PatchTST-M_s2027,tail_missing_12,37,0.09244751185178757,0.23977768421173096,0.30405181646347046,0.08603134006261826,7.457947051038927
ETTh1,336,PatchTST-M_s2028,tail_missing_12,37,0.0906371995806694,0.23717443645000458,0.30106014013290405,0.08415810763835907,7.698713913758648
ETTh1,336,Last,tail_missing_12,43,0.11761713027954102,0.2724674642086029,0.34295353293418884,0.11327401548624039,3.8341668869575685
