dataset,horizon,model_family,corruption,mse_mean,mse_std,degradation_pct_mean,degradation_pct_std,repeats
ETTh2,96,ARRidge,gaussian_0.10,0.1348694774599832,0.00033178475940217835,4.753205068869996,0.2576974241684444,3
ETTh2,96,ARRidge,random_missing_0.10,0.1351446479476083,0.0002967320917194922,4.966930153759168,0.23047199588675613,3
ETTh2,96,ARRidge,spikes_0.02,0.24211290727361087,0.006838236769268742,88.04924214952932,5.311262652539286,3
ETTh2,96,ARRidge,tail_missing_12,0.21268915415626935,0.0,65.19579522999783,0.0,3
ETTh2,96,Last,clean,0.29547715187072754,,0.0,,1
ETTh2,96,Last,gaussian_0.10,0.3047662079334259,0.0025767625579027464,3.143747665052077,0.8720682941434594,3
ETTh2,96,Last,random_missing_0.10,0.29554514090220135,0.0006232144748438988,0.0230099116102019,0.21091799176287548,3
ETTh2,96,Last,spikes_0.02,0.4810876250267029,0.0144017351514765,62.817199902204514,4.874060501902128,3
ETTh2,96,Last,tail_missing_12,0.3123978078365326,0.0,5.726553088344333,0.0,3
ETTh2,96,PatchTST-M,clean,0.1276406248410543,0.0008511345843424389,0.0,0.0,3
ETTh2,96,PatchTST-M,gaussian_0.10,0.13135668469799888,0.0006885272932720835,2.9118086063487842,0.21316934163695994,9
ETTh2,96,PatchTST-M,random_missing_0.10,0.12848107516765594,0.0007987552259000757,0.6582848390521158,0.12852562727223268,9
ETTh2,96,PatchTST-M,spikes_0.02,0.2127988619936837,0.01207171355336567,66.72268004592569,9.504191190372415,9
ETTh2,96,PatchTST-M,tail_missing_12,0.21229691803455353,0.00342335021408169,66.33212454168076,3.0461879289104847,9
ETTh2,336,ARRidge,clean,0.23165805897655078,,0.0,,1
ETTh2,336,ARRidge,gaussian_0.10,0.23443105354442562,0.00038801798145221176,1.1970205483572416,0.16749599956351874,3
ETTh2,336,ARRidge,random_missing_0.10,0.24090559894112948,0.0002223538444530584,3.991892190340226,0.0959836430622775,3
ETTh2,336,ARRidge,spikes_0.02,0.28560651858656033,0.004247479388333471,23.287970143732576,1.8335124653545518,3
ETTh2,336,ARRidge,tail_missing_12,0.27023256287363595,0.0,16.651483685698064,0.0,3
ETTh2,336,Last,clean,0.38987937569618225,,0.0,,1
ETTh2,336,Last,gaussian_0.10,0.3990408678849538,0.0030682861366665144,2.349827346576746,0.7869834435811585,3
ETTh2,336,Last,random_missing_0.10,0.3895379602909088,0.0006440931059753819,-0.08756949624837047,0.16520317465505832,3
ETTh2,336,Last,spikes_0.02,0.5608941515286764,0.01786844200351409,43.86350920130724,4.583069307425552,3
ETTh2,336,Last,tail_missing_12,0.39970099925994873,0.0,2.5191441702266726,0.0,3
ETTh2,336,PatchTST-M,clean,0.21514168878396353,0.0011130299153239655,0.0,0.0,3
ETTh2,336,PatchTST-M,gaussian_0.10,0.21794860396120283,0.0012435929864324064,1.3043343852659965,0.2220315924081377,9
ETTh2,336,PatchTST-M,random_missing_0.10,0.2158590704202652,0.0010343599293506313,0.33334437896499974,0.07802598501074529,9
ETTh2,336,PatchTST-M,spikes_0.02,0.28201160828272503,0.007809056972282472,31.070570242274826,3.0892889961622014,9
ETTh2,336,PatchTST-M,tail_missing_12,0.26072247823079425,0.005606212789753211,21.17818028550327,2.0658461633480125,9
ETTh2,720,ARRidge,clean,0.3234633017825126,,0.0,,1
ETTh2,720,ARRidge,gaussian_0.10,0.3253078590609512,0.0005532068872697335,0.5702524114092148,0.17102616717914174,3
ETTh2,720,ARRidge,random_missing_0.10,0.33136564904325233,0.00014724665571457754,2.443042910027867,0.045521904618906955,3
ETTh2,720,ARRidge,spikes_0.02,0.3568870063773852,0.0018126096390955666,10.333074698330291,0.5603756683082034,3
ETTh2,720,ARRidge,tail_missing_12,0.3558197188523824,0.0,10.003118403714728,0.0,3
ETTh2,720,Last,clean,0.43655288219451904,,0.0,,1
ETTh2,720,Last,gaussian_0.10,0.4468718270460765,0.004106280906612843,2.363733071623497,0.9406147740843755,3
ETTh2,720,Last,random_missing_0.10,0.4358171025911967,0.0004409166428717598,-0.16854306392930876,0.10099959497582628,3
ETTh2,720,Last,spikes_0.02,0.6106040875116984,0.02116636866954242,39.86944363813081,4.848523405260928,3
ETTh2,720,Last,tail_missing_12,0.4423052668571472,0.0,1.3176833545826883,0.0,3
ETTh2,720,PatchTST-M,clean,0.23818424344062805,0.003905157885455221,0.0,0.0,3
ETTh2,720,PatchTST-M,gaussian_0.10,0.246204588148329,0.006979892710890253,3.3505444940629445,1.585439800337489,9
ETTh2,720,PatchTST-M,random_missing_0.10,0.24052683843506706,0.004161955458984766,0.9798736629563369,0.41615925321006436,9
ETTh2,720,PatchTST-M,spikes_0.02,0.5092374450630612,0.12168636606409272,113.39376604498503,48.62299008538557,9
ETTh2,720,PatchTST-M,tail_missing_12,0.29410054286321,0.005306247919464959,23.470578791748736,0.6248189110292487,9
