domain,horizon,model,mse_mean,mae_mean,rmse_mean,mse_std,mae_std,rmse_std,mse_rank,best_simple_mse,improvement_vs_best_simple_pct
Economy,12,DLinear-U,0.197248434027036,0.340762585401535,0.444121390581131,0.0023385408520993,0.0021158018374667,0.0026337138765167,2.0,0.2728009961038822,27.6951195764974
Economy,12,ARRidge,0.2014771551122852,0.3469282238069324,0.4488620669117466,0.0,0.0,0.0,3.0,0.2728009961038822,26.14500753671625
Economy,12,PatchTST,0.2020599146684011,0.3520693083604176,0.4495058854420979,0.0022978140421838,0.0036745405893319,0.0025598903323965,4.0,0.2728009961038822,25.93138677856697
Economy,12,SeasonalNaive,0.2728009961038822,0.4110484013819216,0.5223035478568782,0.0,0.0,0.0,5.0,0.2728009961038822,0.0
Economy,12,Last,0.3293109748799057,0.4585143883470706,0.5738562318907984,0.0,0.0,0.0,6.0,0.2728009961038822,-20.71472596621479
Energy,4,ARRidge,0.0166367523792412,0.0846297725645454,0.1289835353029263,0.0,0.0,0.0,1.0,0.0216173383774475,23.039774422009078
Energy,4,DLinear-U,0.0189582935223976,0.0915133605400721,0.1376795570055643,0.00054867725713,0.0015709423731843,0.0019871417042798,2.0,0.0216173383774475,12.300519187986511
Energy,4,PatchTST,0.0206012365718682,0.0955527524153391,0.1434899965922037,0.0012203701384938,0.0040678641083612,0.0042172950113602,3.0,0.0216173383774475,4.700402000642955
Energy,4,DLinear-M,0.0210922062397003,0.0977913712461789,0.1451316773891449,0.0019218685015134,0.0038456056175716,0.0065956654866976,4.0,0.0216173383774475,2.4292173651454214
Energy,4,Last,0.0216173383774475,0.0972619221572041,0.1470283590925488,0.0,0.0,0.0,5.0,0.0216173383774475,0.0
Energy,4,SeasonalNaive,0.5103018756093117,0.5496333337235166,0.7143541667893537,0.0,0.0,0.0,6.0,0.0216173383774475,-2260.613812390933
Energy,12,Last,0.083753807611207,0.1964007940267516,0.2894025010451828,0.0,0.0,0.0,1.0,0.083753807611207,0.0
Energy,12,ARRidge,0.085653098732707,0.2093304883265619,0.2926655065645882,0.0,0.0,0.0,2.0,0.083753807611207,-2.2677071952557535
