domain,horizon,model,mse,mae,rmse,improvement_vs_fallback_pct,loss_difference_vs_fallback,block_ci_low,block_ci_high,test_windows
Economy,3,frequency_residual,0.20566385760359251,0.3679681613885182,0.45350177243710144,-72.86904878284541,-0.08669296081689054,-0.134793836422715,-0.05330214436890425,88
Economy,3,SafeFAME-TS-v2,0.11897089678670199,0.2806938024800546,0.34492158063348544,0.0,0.0,0.0,0.0,88
Economy,6,AR-Ridge,0.148848330361769,0.30569028965105044,0.385808670666911,0.0,0.0,0.0,0.0,85
Economy,6,semantic_residual,0.23668573372350235,0.38568892582478564,0.4865035803809694,-59.011346078419955,-0.08783740336173333,-0.17090972067726337,-0.026479820445926873,85
Economy,6,frequency_residual,0.2656068506583818,0.41213833748187123,0.5153705954537781,-78.441269722567,-0.11675852029661273,-0.1939058448841526,-0.049632704258834565,85
Economy,6,SafeFAME-TS-v2,0.148848330361769,0.30569028965105044,0.385808670666911,0.0,0.0,0.0,0.0,85
Economy,12,AR-Ridge,0.20147715511228528,0.3469282238069324,0.4488620669117466,0.0,0.0,0.0,0.0,79
Economy,12,semantic_residual,0.4192680549175678,0.520699493225408,0.6475091157022949,-108.09706921060376,-0.2177908998052826,-0.38907950075216763,-0.08685228376853993,79
Economy,12,frequency_residual,0.313423018504032,0.44779531417644364,0.559841958506177,-55.56255910470749,-0.11194586339174671,-0.1919683656213325,-0.02553132523993275,79
Economy,12,SafeFAME-TS-v2,0.20147715511228528,0.3469282238069324,0.4488620669117466,0.0,0.0,0.0,0.0,79
Traffic,3,SeasonalNaive,0.12287487343013756,0.18668580605817017,0.35053512438860895,0.0,0.0,0.0,0.0,129
Traffic,3,semantic_residual,0.0770258224706963,0.13562678534194447,0.27753526347240326,37.313609918393496,0.04584905095944126,-0.0007058012858540278,0.1202307020172865,129
Traffic,3,frequency_residual,0.08296452114126728,0.15666046992984375,0.28803562477802513,32.480482929296315,0.039910352288870264,-0.007217681139081225,0.11945752850259332,129
Traffic,3,SafeFAME-TS-v2,0.12287487343013756,0.18668580605817017,0.35053512438860895,0.0,0.0,0.0,0.0,129
Traffic,6,SeasonalNaive,0.12567507008227052,0.1895769344415226,0.3545067983583256,0.0,0.0,0.0,0.0,126
Traffic,6,semantic_residual,0.08800273018916281,0.14779698118157114,0.2966525411810302,29.97598479033774,0.037672339893107705,-0.0002895237811467348,0.10330553718893049,126
Traffic,6,frequency_residual,0.11663835537331113,0.17761085553232903,0.3415235795275505,7.190538826072423,0.009036714708959392,-0.017497108717798145,0.04715651710382032,126
Traffic,6,SafeFAME-TS-v2,0.12567507008227052,0.1895769344415226,0.3545067983583256,0.0,0.0,0.0,0.0,126
Traffic,12,SeasonalNaive,0.1315895688232499,0.19528617863111875,0.3627527654246758,0.0,0.0,0.0,0.0,120
Traffic,12,semantic_residual,0.10086853820544221,0.1646012340492075,0.3175980765140781,23.346098701084696,0.030721030617807687,-0.000799461296812619,0.08590409073813174,120
Traffic,12,frequency_residual,0.14120163112120004,0.2036679580918576,0.37576805495039095,-7.304577698602377,-0.009612062297950157,-0.04099938611441765,0.021661031352328542,120
Traffic,12,SafeFAME-TS-v2,0.1315895688232499,0.19528617863111875,0.3627527654246758,0.0,0.0,0.0,0.0,120
