domain,horizon,variant,decision_windows,block_length,nonoverlapping_decision_blocks,aligned_decision_mse,matched_control_decision_mse,circular_shift_permutations,circular_shift_p_value,approx_mde_loss,approx_mde_vs_control_pct,test_candidate_mse,test_matched_control_mse,test_gain_vs_matched_control_pct,test_loss_difference_vs_control,test_gain_ci_low_pct,test_gain_ci_high_pct
Economy,3,semantic_residual,22,12,1,0.05448607361057582,0.03970559198487069,999,0.789,,,0.18081564102963832,0.12009358478256965,-50.56228137165395,-0.06072205624706866,-119.53044186799546,-8.975503797977916
Economy,3,frequency_residual,22,12,1,0.10214467069931425,0.05778379676139376,999,0.456,,,0.20566385760359251,0.11999502801141705,-71.3936493968937,-0.08566882959217546,-109.21312117616074,-46.042595270206995
Economy,6,semantic_residual,20,12,1,0.04839590835919963,0.0494614238973599,999,0.576,,,0.23668573372350235,0.15704116057217307,-50.71573137968895,-0.07964457315132928,-105.8752279645571,-12.041801140479835
Economy,6,frequency_residual,20,12,1,0.14479303421105322,0.08470022781700787,999,0.449,,,0.2656068506583818,0.1691550125271907,-57.01979308221033,-0.0964518381311911,-108.55411075095293,-11.973612227484272
Economy,12,semantic_residual,17,12,1,0.04103512462532379,0.04279620169513988,999,0.079,,,0.4192680549175678,0.20905569050214978,-100.55328506508955,-0.21021236441541802,-185.13612275219103,-37.01481814625342
Economy,12,frequency_residual,17,12,1,0.15655800459139746,0.07506769306261345,999,0.585,,,0.313423018504032,0.2553508215692542,-22.742122613076422,-0.05807219693477774,-64.00668094578663,26.760677062368167
Traffic,3,semantic_residual,32,12,2,0.004784711318882118,0.004816630272604626,999,0.336,,,0.0770258224706963,0.09098566481690562,15.342903054345225,0.013959842346209317,-6.02563220885975,50.82108845893297
Traffic,3,frequency_residual,32,12,2,0.004685774851787571,0.004396839237532078,999,0.035,,,0.08296452114126728,0.08862574306356832,6.387785000843871,0.0056612219223010135,-21.013639502361688,46.64822061562965
Traffic,6,semantic_residual,30,12,2,0.005787266406618162,0.0061699404794868995,999,0.334,,,0.08800273018916281,0.1023920589896952,14.053168714949404,0.014389328800532395,-3.060548844236083,45.11520800375769
Traffic,6,frequency_residual,30,12,2,0.007621645366042554,0.005750622720844212,999,0.186,,,0.11663835537331113,0.09805283114076638,-18.95460234683386,-0.018585524232544764,-39.815269797582935,-5.581656217429811
Traffic,12,semantic_residual,27,12,2,0.007096576743690157,0.007653995413088412,999,0.268,,,0.10086853820544221,0.11631131038435895,13.277102740812573,0.01544277217891673,-1.825845276536081,38.960612252217075
Traffic,12,frequency_residual,27,12,2,0.010009129781290385,0.007009425976988844,999,0.194,,,0.14120163112120004,0.1094445890077804,-29.016548375143557,-0.03175704211341965,-56.07044535345218,-9.36167416694929
Agriculture,3,semantic_residual,26,12,2,0.019913529623670632,0.019913135088744552,999,0.459,,,0.0396564195098385,0.039655874892279536,-0.0013733590809694718,-5.446175589713109e-07,-0.07705360853307931,0.05359561827295459
Agriculture,3,frequency_residual,26,12,2,0.019825685522164547,0.019896116260164735,999,0.351,,,0.04017781784452054,0.039802499479828786,-0.9429517482487659,-0.00037531836469175154,-2.817972565778326,0.1737960360859906
Agriculture,6,semantic_residual,24,12,2,0.03269580431357171,0.032694909129549574,999,0.524,,,0.07980450082322668,0.0798477368452478,0.05414808700829887,4.3236022021125555e-05,-0.03990087596653223,0.15553669970515457
Agriculture,6,frequency_residual,24,12,2,0.03225991767935967,0.03254113796625679,999,0.363,,,0.08060222384339755,0.08026446416038734,-0.4208084941989876,-0.00033775968301019623,-1.539117021263236,0.5046062096450995
Agriculture,12,semantic_residual,21,12,1,0.052024472390755215,0.05199887495320193,999,0.52,,,0.17022641244239642,0.1702666292917854,0.02361992455965911,4.0216849388971887e-05,-0.018573339652210964,0.07973294353598674
Agriculture,12,frequency_residual,21,12,1,0.05123930910997558,0.05130136622177557,999,0.632,,,0.17155088318203932,0.1714966401856526,-0.03162918896135736,-5.424299638675772e-05,-0.6593893186485931,0.7508712132767826
Security,3,semantic_residual,15,12,1,3.503592622961022,2.753869451725721,999,0.292,,,90.27022189563053,71.30561652356425,-26.596229436988427,-18.964605372066277,-81.5460658612291,3.3735699120064617
Security,3,frequency_residual,15,12,1,3.8413909204483585,2.6254984588451036,999,0.16,,,97.8799859096856,70.05241655605712,-39.72392491465357,-27.827569353628476,-127.06867525544689,7.7911528412993984
Security,6,semantic_residual,13,12,1,3.1155413953453555,3.0430026515223205,999,0.807,,,73.59793520707848,73.35335292804919,-0.333430264965795,-0.24458227902928054,-0.6712349418793839,-0.10020525296527784
Security,6,frequency_residual,13,12,1,4.006008365827327,2.9722412302002805,999,0.235,,,98.91759506563339,73.63417387159492,-34.336531347697765,-25.283421194038482,-122.48235012618991,12.890870021298525
Security,12,semantic_residual,10,12,0,3.7848708270405655,3.631437422113596,999,0.904,,,85.19860106378088,85.15779174035961,-0.04792200758998444,-0.04080932342126708,-0.38258056085932896,0.2674429845050527
