domain,horizon,fold,variant,mse,mae,rmse,fallback,selected_path,improvement_vs_fallback_pct,delta,ci_low,ci_high,matched_delta,matched_ci_low,matched_ci_high,matched_control_alpha,circular_p_value,alpha,decision_mse,p_value,segment_wins,eligible,test_windows,calibration_windows,decision_windows,block_length,power_nonoverlapping_blocks,approx_mde,approx_mde_pct,bootstrap_seed
Climate,1,1,frequency_residual,0.0869408977118936,0.2173733914977723,0.2948574192926025,Last,numeric_fallback,0.7501239402169513,0.000657093503254,-0.0014917289539619,0.0046176872465906,0.0004405430293094,-0.0001248431309836,0.0010961673930558,10000.0,0.867,10000.0,0.0635985784364154,0.828,True,False,127,128,254,24,10,0.0007148998232146,1.1391293074218571,9011
Climate,1,2,semantic_residual,0.0476349310622949,0.1635679257646935,0.2182542807421998,Last,numeric_fallback,2.8425660479407644,0.0013936703783314,-0.001691382595661,0.0031827556538906,-1.6556015794047482e-05,-9.12287167516051e-05,7.879148673206386e-05,10000.0,0.846,10000.0,0.0673472034752633,0.81,False,False,127,127,254,24,10,9.89986951949923e-05,0.147115553878467,9110
Climate,1,2,frequency_residual,0.0476239281102352,0.1634672103729728,0.2182290725596276,Last,numeric_fallback,2.8650079527401284,0.0014046733303911,-0.0035172617125982,0.0038735640646754,3.020912562887245e-05,-0.0018689659131443,0.0008497608502505,10000.0,0.352,10000.0,0.0673210457138315,0.416,False,False,127,127,254,24,10,0.0004456680965242,0.66237607383989,9111
Climate,1,3,semantic_residual,0.0358410030575567,0.1407184635752542,0.189317202223033,AR-Ridge,numeric_fallback,-8.835954209144248,-0.002909787157448,-0.0045159702065021,-0.0009345070075781,-0.0004826276397235,-0.00124982552849,0.0007494350437845,1000.0,0.357,1000.0,0.0448369783866631,0.25,True,False,128,127,254,24,10,0.0007716813241025,1.7183269378836787,9210
Climate,1,3,frequency_residual,0.0343473375541685,0.1358799137477987,0.1853303470945018,AR-Ridge,numeric_fallback,-4.300241018598694,-0.0014161216540597,-0.0046040773961817,0.0008344432148061,0.0002078442589405,-0.0048052302001767,0.0037333338973947,1.0,0.684,10000.0,0.0447009833641451,0.339,True,False,128,127,254,24,10,0.0052430113692785,11.111550680822733,9211
Climate,24,1,semantic_residual,1.8042047932064609,1.0767945112232191,1.3432069063277112,PatchTST,numeric_fallback,-3.857124169841231,-0.0670059177051705,-0.5988799553053697,0.2463202337048802,0.0145406280118165,-0.0274440926923453,0.0511072572645953,10000.0,0.02,10000.0,0.9495699516316676,0.001,False,False,104,105,231,24,9,0.0355512286544943,3.7125054946499128,9240
Climate,24,1,frequency_residual,1.8120824331507648,1.0758737447807682,1.3461361124161124,PatchTST,numeric_fallback,-4.310592109257816,-0.0748835576494743,-0.5883741005699579,0.2502800023455384,0.2140320504413572,-0.4821276904331169,0.4232297945535112,10.0,0.473,10000.0,0.9668965786692956,0.607,False,False,104,105,231,24,9,0.5606639909220184,49.68009222782344,9241
Climate,24,2,semantic_residual,1.0839273028626888,0.8003393512509359,1.0411182943655772,AR-Ridge,semantic_residual,8.968848129158735,0.1067939838465129,-0.0732009754247979,0.3406552997713786,0.0805966587014931,-0.0914683953970752,0.2910899460065773,100.0,0.289,1000.0,1.269403779638567,0.002,True,True,104,104,231,24,9,0.1992017645992852,15.216241503907682,9340
Climate,24,2,frequency_residual,0.9892282940075876,0.7274546698215654,0.9945995646528244,AR-Ridge,semantic_residual,16.921927486362552,0.2014929927016142,0.1012167170103568,0.4787733771122184,0.0531352571394428,-0.1376744261599735,0.3159971481444245,10000.0,0.002,10000.0,1.3204239991773714,0.019,False,False,104,104,231,24,9,0.0836619967210562,6.165098442340343,9341
Climate,24,3,semantic_residual,0.659564615750888,0.6311019390931938,0.8121358357755727,AR-Ridge,semantic_residual,2.303801558677143,0.015553378883292,-0.0937855295300706,0.1237834455761951,0.0124144618037431,-0.101335008643461,0.1307978562890843,100.0,0.141,10.0,0.8967982201987452,0.002,True,True,105,104,231,24,9,0.2175090749500396,23.291373030035047,9440
Climate,24,3,frequency_residual,0.6037155030796291,0.5783791942146137,0.7769913146745137,AR-Ridge,semantic_residual,10.576298087453772,0.071402491554551,-0.3447624557115417,0.4317478260861105,-0.0275165414049023,-0.5416897753060427,0.3591796455772246,100.0,0.556,1000.0,1.0244887253147434,0.779,False,False,105,104,231,24,9,0.378641693233629,36.95720285481486,9441
Climate,4,1,semantic_residual,0.3128235645860295,0.4231529242033711,0.5593063244645367,Last,numeric_fallback,0.9035795798309376,0.0028523834044799,-0.0130979207904292,0.0331704161279798,0.0001473184038725,-0.0005432688111933,0.0006988408613163,10000.0,0.668,10000.0,0.2099498224958896,0.849,True,False,124,125,251,24,10,0.0002525155896231,0.1203321852936841,9040
Climate,4,1,frequency_residual,0.3098427543816135,0.420734419313226,0.5566352076374738,Last,numeric_fallback,1.847842271806932,0.0058331936088959,-0.0114685018581673,0.0364136644298293,0.0029931006461312,0.0008851601112417,0.0054265416633538,10000.0,0.927,10000.0,0.2152692316866577,0.975,False,False,124,125,251,24,10,0.0082104247874179,3.912415508577981,9041
Climate,4,2,semantic_residual,0.1341002046830985,0.2759721267372526,0.3661969479434509,Last,numeric_fallback,7.275717802803882,0.010522327306859,-0.0129593099988819,0.0244045678859853,-7.193166794827552e-05,-0.0004727398952655,0.000619546230156,10000.0,0.68,10000.0,0.2481960696275225,0.76,True,False,124,124,251,24,10,0.0008005687793933,0.3227063330632937,9140
Climate,4,2,frequency_residual,0.1332902640037028,0.2739387772354536,0.3650893917983687,Last,numeric_fallback,7.8357554872858115,0.0113322679862547,-0.0269875527540122,0.0330753852438161,0.0008672641085773,-0.0139438952135268,0.0094875679578498,10000.0,0.179,10000.0,0.2469996542484328,0.181,True,False,124,124,251,24,10,0.0048948367065332,1.9755555832612883,9141
Climate,4,3,semantic_residual,0.1412594305033195,0.2791903033554599,0.3758449554049109,AR-Ridge,semantic_residual,-3.012104283848372,-0.0041304673728497,-0.0103475682035942,0.0002049434437482,-0.0012499902116649,-0.0061616534189244,0.0029656166689268,100.0,0.245,1000.0,0.1458390157687101,0.008,True,True,125,124,251,24,10,0.0142621638340099,9.116505097946735,9240
Climate,4,3,frequency_residual,0.1350550335659354,0.2716791046545072,0.3674983449839406,AR-Ridge,semantic_residual,1.5123935288281265,0.0020739295645343,-0.0154991878281217,0.0111874111708219,0.0110342255812874,-0.024596287130415,0.0310981661672775,0.0001,0.366,10000.0,0.1456178234884745,0.052,True,False,125,124,251,24,10,0.0325979841225133,19.28162436320452,9241
Economy,12,1,semantic_residual,0.9787375707316304,0.7931115640599495,0.989311665114503,AR-Ridge,numeric_fallback,-335.4570386365344,-0.7539765762151176,-0.8397600371510526,-0.6505438389638567,-0.2920768314965645,-0.3079463601611463,-0.2653889889281983,100.0,0.001,1000.0,1.7721601342056537,0.874,True,False,34,34,78,12,6,0.0964632809238058,5.593425535946715,9120
Economy,12,1,frequency_residual,1.03550004586947,0.8183051461615728,1.0175952269293866,AR-Ridge,numeric_fallback,-360.7116319701963,-0.8107390513529572,-0.8809799508348275,-0.7102117509830103,-0.0614373618600851,-0.0846358978232822,-0.0216832829001608,1000.0,0.231,10000.0,1.8631474203902851,0.349,True,False,34,34,78,12,6,0.0803308404125181,4.526711153540826,9121
Economy,12,2,semantic_residual,0.4997181076460904,0.597452085540835,0.7069074250890921,PatchTST,numeric_fallback,-161.5851457429772,-0.3086835188024667,-0.5519640345410743,-0.2429032474638428,-0.0140251749398179,-0.309095360947799,0.1391417837442752,10000.0,0.001,0.1,0.2118808758387569,0.003,False,False,34,34,78,12,6,0.1760763935508682,47.14902815025675,9220
Economy,12,2,frequency_residual,0.4911767734947368,0.5643367802243731,0.7008400484381132,PatchTST,numeric_fallback,-157.11405273146747,-0.3001421846511131,-0.4079175029405968,-0.211039184678132,-0.247485667433906,-0.4164292872500574,-0.1219184102814397,0.0001,0.725,10000.0,0.3741740495758234,0.398,False,False,34,34,78,12,6,0.4123750881160929,66.30639094118312,9221
Economy,12,3,semantic_residual,0.3325357645441326,0.4597272745223916,0.5766591406924307,AR-Ridge,numeric_fallback,10.07071009368351,0.0372389383258117,-0.0684665076149784,0.1595061566926054,-0.0138366402373574,-0.0591339032319032,0.0534410559921699,100.0,0.103,100.0,0.1610741023324742,0.057,False,False,34,33,79,12,6,0.0044711548048758,2.764996441291618,9320
Economy,12,3,frequency_residual,0.2975753319989592,0.4297106151114233,0.545504658090982,AR-Ridge,numeric_fallback,19.52523261072805,0.0721993708709851,-0.0475761348275395,0.2300416921057917,0.0227688272609037,-0.0203574049158716,0.1066267654392866,10.0,0.215,100.0,0.2010516808925772,0.055,False,False,34,33,79,12,6,0.0597791634404187,31.222802819817257,9321
