dataset,horizon,model_family,corruption,mse_mean,mse_std,degradation_pct_mean,degradation_pct_std,repeats
ETTh2,96,ARRidge,spikes_0.02,0.2421129072736108,0.0068382367692687,88.04924214952932,5.311262652539286,3
ETTh2,96,ARRidge,tail_missing_12,0.2126891541562693,0.0,65.19579522999783,0.0,3
ETTh2,96,Last,clean,0.2954771518707275,,0.0,,1
ETTh2,96,Last,gaussian_0.10,0.3047662079334259,0.0025767625579027,3.143747665052077,0.8720682941434594,3
ETTh2,96,Last,random_missing_0.10,0.2955451409022013,0.0006232144748438,0.0230099116102019,0.2109179917628754,3
ETTh2,96,Last,spikes_0.02,0.4810876250267029,0.0144017351514765,62.817199902204514,4.874060501902128,3
ETTh2,96,Last,tail_missing_12,0.3123978078365326,0.0,5.726553088344333,0.0,3
ETTh2,96,PatchTST-M,clean,0.1276406198740005,0.0008511338968779,0.0,0.0,3
ETTh2,96,PatchTST-M,gaussian_0.10,0.131356688009368,0.0006885298689309,2.911815201853065,0.213173858931946,9
ETTh2,96,PatchTST-M,random_missing_0.10,0.1284810751676559,0.00079875730108,0.6582887472227399,0.1285278898569271,9
ETTh2,96,PatchTST-M,spikes_0.02,0.2127988636493683,0.012071714882523,66.72268828533902,9.504201988024557,9
ETTh2,96,PatchTST-M,tail_missing_12,0.2122969180345535,0.0034233502140816,66.33213113797319,3.0461959194931176,9
ETTh2,336,ARRidge,clean,0.2316580589765507,,0.0,,1
ETTh2,336,ARRidge,gaussian_0.10,0.2344310535444256,0.0003880179814522,1.1970205483572416,0.1674959995635187,3
ETTh2,336,ARRidge,random_missing_0.10,0.2409055989411294,0.000222353844453,3.991892190340226,0.0959836430622775,3
ETTh2,336,ARRidge,spikes_0.02,0.2856065185865603,0.0042474793883334,23.287970143732576,1.833512465354552,3
ETTh2,336,ARRidge,tail_missing_12,0.2702325628736359,0.0,16.651483685698064,0.0,3
ETTh2,336,Last,clean,0.3898793756961822,,0.0,,1
ETTh2,336,Last,gaussian_0.10,0.3990408678849538,0.0030682861366665,2.349827346576746,0.7869834435811585,3
ETTh2,336,Last,random_missing_0.10,0.3895379602909088,0.0006440931059753,-0.0875694962483704,0.1652031746550583,3
ETTh2,336,Last,spikes_0.02,0.5608941515286764,0.017868442003514,43.86350920130724,4.583069307425552,3
ETTh2,336,Last,tail_missing_12,0.3997009992599487,0.0,2.5191441702266726,0.0,3
ETTh2,336,PatchTST-M,clean,0.2151416838169098,0.0011130379017703,0.0,0.0,3
ETTh2,336,PatchTST-M,gaussian_0.10,0.2179486023055182,0.0012435925682141,1.3043359642566383,0.2220293847999264,9
ETTh2,336,PatchTST-M,random_missing_0.10,0.2158590687645806,0.0010343580195078,0.3333459416489227,0.07802475511225,9
ETTh2,336,PatchTST-M,spikes_0.02,0.282011608282725,0.0078090569722824,31.07057320121529,3.08928510060423,9
ETTh2,336,PatchTST-M,tail_missing_12,0.2607224782307942,0.0056062127897532,21.178183038842903,2.065842291787132,9
ETTh2,720,ARRidge,clean,0.3234633017825126,,0.0,,1
ETTh2,720,ARRidge,gaussian_0.10,0.3253078590609512,0.0005532068872697,0.5702524114092148,0.1710261671791417,3
ETTh2,720,ARRidge,random_missing_0.10,0.3313656490432523,0.0001472466557145,2.443042910027867,0.0455219046189069,3
ETTh2,720,ARRidge,spikes_0.02,0.3568870063773852,0.0018126096390955,10.333074698330291,0.5603756683082034,3
ETTh2,720,ARRidge,tail_missing_12,0.3558197188523824,0.0,10.003118403714728,0.0,3
ETTh2,720,Last,clean,0.436552882194519,,0.0,,1
ETTh2,720,Last,gaussian_0.10,0.4468718270460765,0.0041062809066128,2.363733071623497,0.9406147740843755,3
ETTh2,720,Last,random_missing_0.10,0.4358171025911967,0.0004409166428717,-0.1685430639293087,0.1009995949758262,3
ETTh2,720,Last,spikes_0.02,0.6106040875116984,0.0211663686695424,39.86944363813081,4.848523405260928,3
ETTh2,720,Last,tail_missing_12,0.4423052668571472,0.0,1.3176833545826885,0.0,3
ETTh2,720,PatchTST-M,clean,0.2381842186053594,0.0039051351265191,0.0,0.0,3
ETTh2,720,PatchTST-M,gaussian_0.10,0.2462045898040135,0.0069798897515877,3.3505559812310257,1.5854465933030293,9
ETTh2,720,PatchTST-M,random_missing_0.10,0.2405268467134899,0.0041619355263436,0.9798876772777788,0.4161547412120714,9
ETTh2,720,PatchTST-M,spikes_0.02,0.509237441751692,0.1216863679809662,113.3937889911775,48.62300968201024,9
ETTh2,720,PatchTST-M,tail_missing_12,0.2941005130608876,0.005306223913037,23.470579191635867,0.6248200918017492,9
